Country,n,per
Greece,3, 1.7
Iran,3, 1.7
The Netherlands,3, 1.7
Brazil,2, 1.1
Croatia,2, 1.1
Japan,2, 1.1
Nepal,2, 1.1
Norway,2, 1.1
Pakistan,2, 1.1
Switzerland,2, 1.1
Taiwan,2, 1.1
Argentina,1, 0.6
Denmark,1, 0.6
France,1, 0.6
Istanbul,1, 0.6
Republic of Korea,1, 0.6
Thailand,1, 0.6
